tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
2014-06-01,DKI1 (Bunderan HI),67,6,55,64,21,67,PM10,SEDANG
2014-06-02,DKI1 (Bunderan HI),52,11,26,42,16,52,PM10,SEDANG
2014-06-03,DKI1 (Bunderan HI),58,11,28,37,18,58,PM10,SEDANG
2014-06-04,DKI1 (Bunderan HI),56,9,32,51,16,56,PM10,SEDANG
2014-06-05,DKI1 (Bunderan HI),51,10,36,61,22,61,O3,SEDANG
2014-06-06,DKI1 (Bunderan HI),65,9,42,43,26,65,PM10,SEDANG
2014-06-07,DKI1 (Bunderan HI),61,13,32,52,17,61,PM10,SEDANG
2014-06-08,DKI1 (Bunderan HI),59,11,27,46,13,59,PM10,SEDANG
2014-06-09,DKI1 (Bunderan HI),52,10,27,43,14,52,PM10,SEDANG
2014-06-10,DKI1 (Bunderan HI),38,7,26,57,18,57,O3,SEDANG
2014-06-11,DKI1 (Bunderan HI),64,5,43,96,22,96,O3,SEDANG
2014-06-12,DKI1 (Bunderan HI),63,5,37,145,20,145,O3,TIDAK SEHAT
2014-06-13,DKI1 (Bunderan HI),34,6,39,116,28,116,O3,TIDAK SEHAT
2014-06-14,DKI1 (Bunderan HI),71,9,65,46,24,71,PM10,SEDANG
2014-06-15,DKI1 (Bunderan HI),53,6,34,51,16,53,PM10,SEDANG
2014-06-16,DKI1 (Bunderan HI),58,9,43,63,21,63,O3,SEDANG
2014-06-17,DKI1 (Bunderan HI),43,8,35,62,17,62,O3,SEDANG
2014-06-18,DKI1 (Bunderan HI),54,10,29,45,17,54,PM10,SEDANG
2014-06-19,DKI1 (Bunderan HI),40,10,31,56,18,56,O3,SEDANG
2014-06-20,DKI1 (Bunderan HI),61,10,31,40,14,61,PM10,SEDANG
2014-06-21,DKI1 (Bunderan HI),53,9,23,46,11,53,PM10,SEDANG
2014-06-22,DKI1 (Bunderan HI),84,8,69,79,26,84,PM10,SEDANG
2014-06-23,DKI1 (Bunderan HI),60,9,34,52,14,60,PM10,SEDANG
2014-06-24,DKI1 (Bunderan HI),55,8,24,47,13,55,PM10,SEDANG
2014-06-25,DKI1 (Bunderan HI),55,9,24,46,14,55,PM10,SEDANG
2014-06-26,DKI1 (Bunderan HI),54,8,35,29,24,54,PM10,SEDANG
2014-06-27,DKI1 (Bunderan HI),92,11,52,52,22,92,PM10,SEDANG
2014-06-28,DKI1 (Bunderan HI),53,7,31,57,17,57,O3,SEDANG
2014-06-29,DKI1 (Bunderan HI),73,11,26,66,19,73,PM10,SEDANG
2014-06-30,DKI1 (Bunderan HI),56,8,34,75,22,75,O3,SEDANG
2014-06-01,DKI2 (Kelapa Gading),75,14,42,87,20,87,O3,SEDANG
2014-06-02,DKI2 (Kelapa Gading),67,15,15,54,13,67,PM10,SEDANG
2014-06-03,DKI2 (Kelapa Gading),79,13,17,58,15,79,PM10,SEDANG
2014-06-04,DKI2 (Kelapa Gading),78,15,16,67,19,78,PM10,SEDANG
2014-06-05,DKI2 (Kelapa Gading),78,12,14,84,18,84,O3,SEDANG
2014-06-06,DKI2 (Kelapa Gading),73,8,34,63,24,73,PM10,SEDANG
2014-06-07,DKI2 (Kelapa Gading),83,15,21,63,14,83,PM10,SEDANG
