tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
2018-03-01,DKI1 (Bunderan HI),52,22,24,66,4,66,O3,SEDANG
2018-03-02,DKI1 (Bunderan HI),48,21,23,82,4,82,O3,SEDANG
2018-03-03,DKI1 (Bunderan HI),57,23,19,51,3,57,PM10,SEDANG
2018-03-04,DKI1 (Bunderan HI),42,22,29,130,5,130,O3,TIDAK SEHAT
2018-03-05,DKI1 (Bunderan HI),37,20,20,37,3,37,PM10,BAIK
2018-03-06,DKI1 (Bunderan HI),51,28,20,30,4,51,PM10,SEDANG
2018-03-07,DKI1 (Bunderan HI),47,23,24,27,4,47,PM10,BAIK
2018-03-08,DKI1 (Bunderan HI),49,22,26,50,4,50,O3,BAIK
2018-03-09,DKI1 (Bunderan HI),57,26,29,42,5,57,PM10,SEDANG
2018-03-10,DKI1 (Bunderan HI),49,24,27,23,3,49,PM10,BAIK
2018-03-11,DKI1 (Bunderan HI),36,25,18,32,2,36,PM10,BAIK
2018-03-12,DKI1 (Bunderan HI),36,24,20,24,3,36,PM10,BAIK
2018-03-13,DKI1 (Bunderan HI),49,23,20,23,2,49,PM10,BAIK
2018-03-14,DKI1 (Bunderan HI),52,22,20,36,3,52,PM10,SEDANG
2018-03-15,DKI1 (Bunderan HI),54,28,24,59,5,59,O3,SEDANG
2018-03-16,DKI1 (Bunderan HI),52,28,20,72,7,72,O3,SEDANG
2018-03-17,DKI1 (Bunderan HI),62,26,24,56,6,62,PM10,SEDANG
2018-03-18,DKI1 (Bunderan HI),68,24,46,91,4,91,O3,SEDANG
2018-03-19,DKI1 (Bunderan HI),42,25,21,68,4,68,O3,SEDANG
2018-03-20,DKI1 (Bunderan HI),44,24,23,133,6,133,O3,TIDAK SEHAT
2018-03-21,DKI1 (Bunderan HI),47,24,27,67,4,67,O3,SEDANG
2018-03-22,DKI1 (Bunderan HI),30,23,18,33,3,33,O3,BAIK
2018-03-23,DKI1 (Bunderan HI),67,24,37,53,7,67,PM10,SEDANG
2018-03-24,DKI1 (Bunderan HI),66,27,23,28,4,66,PM10,SEDANG
2018-03-25,DKI1 (Bunderan HI),26,21,16,40,3,40,O3,BAIK
2018-03-26,DKI1 (Bunderan HI),48,22,24,40,4,48,PM10,BAIK
2018-03-27,DKI1 (Bunderan HI),25,24,20,91,1,91,O3,SEDANG
2018-03-28,DKI1 (Bunderan HI),52,24,31,87,4,87,O3,SEDANG
2018-03-29,DKI1 (Bunderan HI),31,23,26,24,5,31,PM10,BAIK
2018-03-30,DKI1 (Bunderan HI),22,23,31,28,2,31,CO,BAIK
2018-03-31,DKI1 (Bunderan HI),14,22,15,21,1,22,SO2,BAIK
2018-03-01,DKI2 (Kelapa Gading),48,24,13,119,19,119,O3,TIDAK SEHAT
2018-03-02,DKI2 (Kelapa Gading),47,29,13,146,17,146,O3,TIDAK SEHAT
2018-03-03,DKI2 (Kelapa Gading),59,30,---,68,15,68,O3,SEDANG
2018-03-04,DKI2 (Kelapa Gading),60,30,17,154,15,154,O3,TIDAK SEHAT
2018-03-05,DKI2 (Kelapa Gading),28,23,9,57,20,57,O3,SEDANG
2018-03-06,DKI2 (Kelapa Gading),36,25,12,56,16,56,O3,SEDANG
2018-03-07,DKI2 (Kelapa Gading),41,26,17,52,21,52,O3,SEDANG
2018-03-08,DKI2 (Kelapa Gading),55,29,31,89,22,89,O3,SEDANG
2018-03-09,DKI2 (Kelapa Gading),56,30,21,59,27,59,O3,SEDANG
2018-03-10,DKI2 (Kelapa Gading),32,25,11,31,12,32,PM10,BAIK
2018-03-11,DKI2 (Kelapa Gading),26,25,6,31,10,31,O3,BAIK
2018-03-12,DKI2 (Kelapa Gading),28,24,9,28,9,28,PM10,BAIK
2018-03-13,DKI2 (Kelapa Gading),35,25,11,33,8,35,PM10,BAIK
2018-03-14,DKI2 (Kelapa Gading),43,31,11,34,11,43,PM10,BAIK
2018-03-15,DKI2 (Kelapa Gading),68,37,22,136,30,136,O3,TIDAK SEHAT
2018-03-16,DKI2 (Kelapa Gading),62,30,12,90,15,90,O3,SEDANG
2018-03-17,DKI2 (Kelapa Gading),71,32,17,92,20,92,O3,SEDANG
2018-03-18,DKI2 (Kelapa Gading),72,31,43,109,14,109,O3,TIDAK SEHAT
2018-03-19,DKI2 (Kelapa Gading),43,27,9,99,15,99,O3,SEDANG
2018-03-20,DKI2 (Kelapa Gading),48,29,9,170,15,170,O3,TIDAK SEHAT
2018-03-21,DKI2 (Kelapa Gading),44,25,19,87,14,87,O3,SEDANG
2018-03-22,DKI2 (Kelapa Gading),25,25,7,46,9,46,O3,BAIK
2018-03-23,DKI2 (Kelapa Gading),71,44,31,32,21,71,PM10,SEDANG
2018-03-24,DKI2 (Kelapa Gading),63,30,17,55,17,63,PM10,SEDANG
2018-03-25,DKI2 (Kelapa Gading),24,24,10,64,19,64,O3,SEDANG
2018-03-26,DKI2 (Kelapa Gading),46,27,17,90,19,90,O3,SEDANG
2018-03-27,DKI2 (Kelapa Gading),34,22,8,94,7,94,O3,SEDANG
2018-03-28,DKI2 (Kelapa Gading),71,31,42,195,21,195,O3,TIDAK SEHAT
2018-03-29,DKI2 (Kelapa Gading),55,34,12,129,15,129,O3,TIDAK SEHAT
2018-03-30,DKI2 (Kelapa Gading),56,30,22,105,18,105,O3,TIDAK SEHAT
2018-03-31,DKI2 (Kelapa Gading),31,25,6,54,7,54,O3,SEDANG
2018-03-01,DKI3 (Jagakarsa),62,16,23,99,7,99,O3,SEDANG
2018-03-02,DKI3 (Jagakarsa),43,16,14,110,12,110,O3,TIDAK SEHAT
2018-03-03,DKI3 (Jagakarsa),57,18,15,80,10,80,O3,SEDANG
2018-03-04,DKI3 (Jagakarsa),52,16,25,100,7,100,O3,SEDANG
2018-03-05,DKI3 (Jagakarsa),55,15,27,69,7,69,O3,SEDANG
2018-03-06,DKI3 (Jagakarsa),63,18,16,103,7,103,O3,TIDAK SEHAT
2018-03-07,DKI3 (Jagakarsa),66,17,17,76,6,76,O3,SEDANG
2018-03-08,DKI3 (Jagakarsa),50,16,16,59,6,59,O3,SEDANG
2018-03-09,DKI3 (Jagakarsa),59,17,18,76,6,76,O3,SEDANG
2018-03-10,DKI3 (Jagakarsa),60,18,24,54,8,60,PM10,SEDANG
2018-03-11,DKI3 (Jagakarsa),56,17,15,51,7,56,PM10,SEDANG
2018-03-12,DKI3 (Jagakarsa),39,16,12,44,6,44,O3,BAIK
2018-03-13,DKI3 (Jagakarsa),27,18,9,61,4,61,O3,SEDANG
2018-03-14,DKI3 (Jagakarsa),62,---,19,89,7,89,O3,SEDANG
2018-03-15,DKI3 (Jagakarsa),53,---,17,75,6,75,O3,SEDANG
2018-03-16,DKI3 (Jagakarsa),54,17,12,136,7,136,O3,TIDAK SEHAT
2018-03-17,DKI3 (Jagakarsa),61,16,18,68,10,68,O3,SEDANG
2018-03-18,DKI3 (Jagakarsa),56,16,34,101,6,101,O3,TIDAK SEHAT
2018-03-19,DKI3 (Jagakarsa),50,16,11,111,5,111,O3,TIDAK SEHAT
2018-03-20,DKI3 (Jagakarsa),51,16,12,89,6,89,O3,SEDANG
2018-03-21,DKI3 (Jagakarsa),58,15,30,54,8,58,PM10,SEDANG
2018-03-22,DKI3 (Jagakarsa),26,16,9,51,3,51,O3,SEDANG
2018-03-23,DKI3 (Jagakarsa),58,16,43,90,12,90,O3,SEDANG
2018-03-24,DKI3 (Jagakarsa),55,16,14,38,6,55,PM10,SEDANG
2018-03-25,DKI3 (Jagakarsa),31,15,9,48,3,48,O3,BAIK
2018-03-26,DKI3 (Jagakarsa),29,16,18,56,7,56,O3,SEDANG
2018-03-27,DKI3 (Jagakarsa),37,15,10,50,4,50,O3,BAIK
2018-03-28,DKI3 (Jagakarsa),59,15,19,59,8,59,PM10,SEDANG
2018-03-29,DKI3 (Jagakarsa),53,17,23,73,12,73,O3,SEDANG
2018-03-30,DKI3 (Jagakarsa),54,25,19,83,10,83,O3,SEDANG
2018-03-31,DKI3 (Jagakarsa),35,48,7,52,3,52,O3,SEDANG
2018-03-01,DKI4 (Lubang Buaya),72,3,27,70,15,72,PM10,SEDANG
2018-03-02,DKI4 (Lubang Buaya),51,4,18,95,11,95,O3,SEDANG
2018-03-03,DKI4 (Lubang Buaya),62,6,12,54,18,62,PM10,SEDANG
2018-03-04,DKI4 (Lubang Buaya),60,5,23,95,19,95,O3,SEDANG
2018-03-05,DKI4 (Lubang Buaya),61,4,27,50,11,61,PM10,SEDANG
2018-03-06,DKI4 (Lubang Buaya),64,24,21,62,13,64,PM10,SEDANG
2018-03-07,DKI4 (Lubang Buaya),55,21,27,32,10,55,PM10,SEDANG
2018-03-08,DKI4 (Lubang Buaya),50,21,14,44,9,50,PM10,BAIK
2018-03-09,DKI4 (Lubang Buaya),53,22,21,48,12,53,PM10,SEDANG
2018-03-10,DKI4 (Lubang Buaya),53,23,23,27,9,53,PM10,SEDANG
2018-03-11,DKI4 (Lubang Buaya),39,22,14,32,8,39,PM10,BAIK
2018-03-12,DKI4 (Lubang Buaya),32,22,16,40,9,40,O3,BAIK
2018-03-13,DKI4 (Lubang Buaya),33,25,9,33,5,33,PM10,BAIK
2018-03-14,DKI4 (Lubang Buaya),58,28,16,61,8,61,O3,SEDANG
2018-03-15,DKI4 (Lubang Buaya),56,24,15,42,9,56,PM10,SEDANG
2018-03-16,DKI4 (Lubang Buaya),75,26,15,66,11,75,PM10,SEDANG
2018-03-17,DKI4 (Lubang Buaya),66,22,16,46,18,66,PM10,SEDANG
2018-03-18,DKI4 (Lubang Buaya),64,23,39,85,8,85,O3,SEDANG
2018-03-19,DKI4 (Lubang Buaya),41,23,14,79,9,79,O3,SEDANG
2018-03-20,DKI4 (Lubang Buaya),46,22,12,88,22,88,O3,SEDANG
2018-03-21,DKI4 (Lubang Buaya),62,21,31,87,13,87,O3,SEDANG
2018-03-22,DKI4 (Lubang Buaya),27,21,8,39,6,39,O3,BAIK
2018-03-23,DKI4 (Lubang Buaya),75,22,30,90,10,90,O3,SEDANG
2018-03-24,DKI4 (Lubang Buaya),60,23,15,37,11,60,PM10,SEDANG
2018-03-25,DKI4 (Lubang Buaya),36,21,11,38,9,38,O3,BAIK
2018-03-26,DKI4 (Lubang Buaya),51,21,21,36,12,51,PM10,SEDANG
2018-03-27,DKI4 (Lubang Buaya),41,22,11,43,6,43,O3,BAIK
2018-03-28,DKI4 (Lubang Buaya),75,23,30,66,26,75,PM10,SEDANG
2018-03-29,DKI4 (Lubang Buaya),71,25,22,105,19,105,O3,TIDAK SEHAT
2018-03-30,DKI4 (Lubang Buaya),56,25,20,68,30,68,O3,SEDANG
2018-03-31,DKI4 (Lubang Buaya),37,22,9,39,8,39,O3,BAIK
