tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
2018-08-01,DKI1 (Bunderan HI),76,10,18,31,5,76,PM10,SEDANG
2018-08-02,DKI1 (Bunderan HI),53,10,18,29,4,53,PM10,SEDANG
2018-08-03,DKI1 (Bunderan HI),57,10,16,40,3,57,PM10,SEDANG
2018-08-04,DKI1 (Bunderan HI),56,10,13,49,3,56,PM10,SEDANG
2018-08-05,DKI1 (Bunderan HI),46,12,11,32,3,46,PM10,BAIK
2018-08-06,DKI1 (Bunderan HI),48,12,12,38,4,48,PM10,BAIK
2018-08-07,DKI1 (Bunderan HI),64,11,16,37,4,64,PM10,SEDANG
2018-08-08,DKI1 (Bunderan HI),53,12,19,29,5,53,PM10,SEDANG
2018-08-09,DKI1 (Bunderan HI),72,11,19,28,4,72,PM10,SEDANG
2018-08-10,DKI1 (Bunderan HI),60,11,18,28,4,60,PM10,SEDANG
2018-08-11,DKI1 (Bunderan HI),69,11,17,29,4,69,PM10,SEDANG
2018-08-12,DKI1 (Bunderan HI),62,11,14,29,4,62,PM10,SEDANG
2018-08-13,DKI1 (Bunderan HI),63,11,13,31,2,63,PM10,SEDANG
2018-08-14,DKI1 (Bunderan HI),74,12,13,48,2,74,PM10,SEDANG
2018-08-15,DKI1 (Bunderan HI),62,11,13,45,2,62,PM10,SEDANG
2018-08-16,DKI1 (Bunderan HI),64,12,13,34,3,64,PM10,SEDANG
2018-08-17,DKI1 (Bunderan HI),59,11,15,33,3,59,PM10,SEDANG
2018-08-18,DKI1 (Bunderan HI),60,11,11,27,3,60,PM10,SEDANG
2018-08-19,DKI1 (Bunderan HI),55,11,10,47,2,55,PM10,SEDANG
2018-08-20,DKI1 (Bunderan HI),54,10,13,18,3,54,PM10,SEDANG
2018-08-21,DKI1 (Bunderan HI),60,11,16,18,3,60,PM10,SEDANG
2018-08-22,DKI1 (Bunderan HI),62,10,16,17,4,62,PM10,SEDANG
2018-08-23,DKI1 (Bunderan HI),62,12,17,21,4,62,PM10,SEDANG
2018-08-24,DKI1 (Bunderan HI),68,11,20,17,4,68,PM10,SEDANG
2018-08-25,DKI1 (Bunderan HI),67,11,19,29,3,67,PM10,SEDANG
2018-08-26,DKI1 (Bunderan HI),62,10,13,22,3,62,PM10,SEDANG
2018-08-27,DKI1 (Bunderan HI),70,11,17,24,3,70,PM10,SEDANG
2018-08-28,DKI1 (Bunderan HI),67,11,17,,3,67,PM10,SEDANG
2018-08-29,DKI1 (Bunderan HI),55,10,16,34,3,55,PM10,SEDANG
2018-08-30,DKI1 (Bunderan HI),60,10,17,34,3,60,PM10,SEDANG
2018-08-31,DKI1 (Bunderan HI),49,10,18,36,4,49,PM10,BAIK
2018-08-01,DKI2 (Kelapa Gading),68,17,15,102,24,102,O3,TIDAK SEHAT
2018-08-02,DKI2 (Kelapa Gading),63,20,8,160,20,160,O3,TIDAK SEHAT
2018-08-03,DKI2 (Kelapa Gading),63,22,3,211,17,211,O3,SANGAT TIDAK SEHAT
2018-08-04,DKI2 (Kelapa Gading),59,30,16,154,16,154,O3,TIDAK SEHAT
