tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
2018-05-01,DKI1 (Bunderan HI),62,24,19,,9,62,PM10,SEDANG
2018-05-02,DKI1 (Bunderan HI),62,23,22,,6,62,PM10,SEDANG
2018-05-03,DKI1 (Bunderan HI),70,23,22,,4,70,PM10,SEDANG
2018-05-04,DKI1 (Bunderan HI),78,23,31,,4,78,PM10,SEDANG
2018-05-05,DKI1 (Bunderan HI),61,23,23,,3,61,PM10,SEDANG
2018-05-06,DKI1 (Bunderan HI),48,23,17,,3,48,PM10,BAIK
2018-05-07,DKI1 (Bunderan HI),50,24,17,,2,50,PM10,BAIK
2018-05-08,DKI1 (Bunderan HI),51,25,21,,4,51,PM10,SEDANG
2018-05-09,DKI1 (Bunderan HI),,24,20,,3,24,SO2,BAIK
2018-05-10,DKI1 (Bunderan HI),55,2,18,36,3,55,PM10,SEDANG
2018-05-11,DKI1 (Bunderan HI),49,1,16,33,3,49,PM10,BAIK
2018-05-12,DKI1 (Bunderan HI),62,17,19,,3,62,PM10,SEDANG
2018-05-13,DKI1 (Bunderan HI),43,16,22,59,3,59,O3,SEDANG
2018-05-14,DKI1 (Bunderan HI),64,14,20,74,4,74,O3,SEDANG
2018-05-15,DKI1 (Bunderan HI),63,14,24,80,4,80,O3,SEDANG
2018-05-16,DKI1 (Bunderan HI),47,13,23,55,3,55,O3,SEDANG
2018-05-17,DKI1 (Bunderan HI),51,14,19,30,4,51,PM10,SEDANG
2018-05-18,DKI1 (Bunderan HI),42,13,11,27,2,42,PM10,BAIK
2018-05-19,DKI1 (Bunderan HI),40,14,11,42,4,42,O3,BAIK
2018-05-20,DKI1 (Bunderan HI),39,14,19,38,3,39,PM10,BAIK
2018-05-21,DKI1 (Bunderan HI),29,14,17,50,4,50,O3,BAIK
2018-05-22,DKI1 (Bunderan HI),40,14,14,34,4,40,PM10,BAIK
2018-05-23,DKI1 (Bunderan HI),35,17,12,42,,42,O3,BAIK
2018-05-24,DKI1 (Bunderan HI),19,17,,34,,34,O3,BAIK
2018-05-25,DKI1 (Bunderan HI),55,18,,22,5,55,PM10,SEDANG
2018-05-26,DKI1 (Bunderan HI),6,17,24,16,6,24,CO,BAIK
2018-05-27,DKI1 (Bunderan HI),,,,,,0,,TIDAK ADA DATA
2018-05-28,DKI1 (Bunderan HI),,,,,,0,,TIDAK ADA DATA
2018-05-29,DKI1 (Bunderan HI),55,13,18,28,7,55,PM10,SEDANG
2018-05-30,DKI1 (Bunderan HI),67,12,18,45,9,67,PM10,SEDANG
2018-05-31,DKI1 (Bunderan HI),43,13,17,35,8,43,PM10,BAIK
2018-05-01,DKI2 (Kelapa Gading),66,10,9,73,18,73,O3,SEDANG
2018-05-02,DKI2 (Kelapa Gading),73,20,14,76,18,76,O3,SEDANG
2018-05-03,DKI2 (Kelapa Gading),76,11,17,80,20,80,O3,SEDANG
2018-05-04,DKI2 (Kelapa Gading),91,27,35,68,23,91,PM10,SEDANG
2018-05-05,DKI2 (Kelapa Gading),76,19,15,69,17,76,PM10,SEDANG
2018-05-06,DKI2 (Kelapa Gading),62,11,6,74,15,74,O3,SEDANG
2018-05-07,DKI2 (Kelapa Gading),68,15,8,59,16,68,PM10,SEDANG
2018-05-08,DKI2 (Kelapa Gading),69,19,11,76,17,76,O3,SEDANG
2018-05-09,DKI2 (Kelapa Gading),73,18,10,96,20,96,O3,SEDANG
2018-05-10,DKI2 (Kelapa Gading),71,25,6,66,15,71,PM10,SEDANG
2018-05-11,DKI2 (Kelapa Gading),71,16,8,64,18,71,PM10,SEDANG
2018-05-12,DKI2 (Kelapa Gading),79,20,12,68,21,79,PM10,SEDANG
2018-05-13,DKI2 (Kelapa Gading),70,20,15,73,14,73,O3,SEDANG
2018-05-14,DKI2 (Kelapa Gading),82,23,12,81,13,82,PM10,SEDANG
