tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
2012-12-01,DKI1 (Bunderan HI),59,30,45,62,17,62,O3,SEDANG
2012-12-02,DKI1 (Bunderan HI),66,26,38,83,12,83,O3,SEDANG
2012-12-03,DKI1 (Bunderan HI),44,27,28,41,14,44,PM10,BAIK
2012-12-04,DKI1 (Bunderan HI),39,31,33,32,11,39,PM10,BAIK
2012-12-05,DKI1 (Bunderan HI),49,39,33,29,10,49,PM10,BAIK
2012-12-06,DKI1 (Bunderan HI),60,34,37,123,21,123,O3,TIDAK SEHAT
2012-12-07,DKI1 (Bunderan HI),71,5,42,86,19,86,O3,SEDANG
2012-12-08,DKI1 (Bunderan HI),51,---,26,78,14,78,O3,SEDANG
2012-12-09,DKI1 (Bunderan HI),58,---,38,115,16,115,O3,TIDAK SEHAT
2012-12-10,DKI1 (Bunderan HI),60,---,28,104,16,104,O3,TIDAK SEHAT
2012-12-11,DKI1 (Bunderan HI),68,5,30,77,19,77,O3,SEDANG
2012-12-12,DKI1 (Bunderan HI),70,---,29,75,17,75,O3,SEDANG
2012-12-13,DKI1 (Bunderan HI),59,5,28,71,20,71,O3,SEDANG
2012-12-14,DKI1 (Bunderan HI),68,3,42,92,30,92,O3,SEDANG
2012-12-15,DKI1 (Bunderan HI),63,2,54,64,14,64,O3,SEDANG
2012-12-16,DKI1 (Bunderan HI),59,5,18,68,10,68,O3,SEDANG
2012-12-17,DKI1 (Bunderan HI),53,5,30,68,20,68,O3,SEDANG
2012-12-18,DKI1 (Bunderan HI),49,6,39,62,19,62,O3,SEDANG
2012-12-19,DKI1 (Bunderan HI),65,6,49,62,18,65,PM10,SEDANG
2012-12-20,DKI1 (Bunderan HI),60,6,33,76,20,76,O3,SEDANG
2012-12-21,DKI1 (Bunderan HI),55,4,29,70,14,70,O3,SEDANG
2012-12-22,DKI1 (Bunderan HI),51,2,38,68,12,68,O3,SEDANG
2012-12-23,DKI1 (Bunderan HI),43,4,33,57,11,57,O3,SEDANG
2012-12-24,DKI1 (Bunderan HI),53,7,21,47,13,53,PM10,SEDANG
2012-12-25,DKI1 (Bunderan HI),45,4,20,41,10,45,PM10,BAIK
2012-12-26,DKI1 (Bunderan HI),38,3,31,54,13,54,O3,SEDANG
2012-12-27,DKI1 (Bunderan HI),45,5,30,33,10,45,PM10,BAIK
2012-12-28,DKI1 (Bunderan HI),47,4,23,39,11,47,PM10,BAIK
2012-12-29,DKI1 (Bunderan HI),40,4,26,39,14,40,PM10,BAIK
2012-12-30,DKI1 (Bunderan HI),38,3,20,37,10,38,PM10,BAIK
2012-12-31,DKI1 (Bunderan HI),31,2,15,28,7,31,PM10,BAIK
2012-12-01,DKI2 (Kelapa Gading),58,10,23,106,18,106,O3,TIDAK SEHAT
2012-12-02,DKI2 (Kelapa Gading),55,4,18,222,12,222,O3,SANGAT TIDAK SEHAT
2012-12-03,DKI2 (Kelapa Gading),36,4,18,212,14,212,O3,SANGAT TIDAK SEHAT
2012-12-04,DKI2 (Kelapa Gading),39,4,18,202,11,202,O3,SANGAT TIDAK SEHAT
2012-12-05,DKI2 (Kelapa Gading),57,7,24,77,11,77,O3,SEDANG
2012-12-06,DKI2 (Kelapa Gading),63,8,20,219,15,219,O3,SANGAT TIDAK SEHAT
2012-12-07,DKI2 (Kelapa Gading),74,11,31,179,15,179,O3,TIDAK SEHAT
2012-12-08,DKI2 (Kelapa Gading),49,8,12,210,12,210,O3,SANGAT TIDAK SEHAT
2012-12-09,DKI2 (Kelapa Gading),50,7,34,228,14,228,O3,SANGAT TIDAK SEHAT
2012-12-10,DKI2 (Kelapa Gading),53,3,16,229,16,229,O3,SANGAT TIDAK SEHAT
2012-12-11,DKI2 (Kelapa Gading),70,13,26,185,17,185,O3,TIDAK SEHAT
2012-12-12,DKI2 (Kelapa Gading),70,16,23,163,16,163,O3,TIDAK SEHAT
2012-12-13,DKI2 (Kelapa Gading),46,6,29,135,24,135,O3,TIDAK SEHAT
2012-12-14,DKI2 (Kelapa Gading),53,7,22,223,23,223,O3,SANGAT TIDAK SEHAT
2012-12-15,DKI2 (Kelapa Gading),60,5,57,214,17,214,O3,SANGAT TIDAK SEHAT
2012-12-16,DKI2 (Kelapa Gading),53,8,17,215,18,215,O3,SANGAT TIDAK SEHAT
2012-12-17,DKI2 (Kelapa Gading),38,7,18,124,13,124,O3,TIDAK SEHAT
2012-12-18,DKI2 (Kelapa Gading),45,8,24,107,17,107,O3,TIDAK SEHAT
2012-12-19,DKI2 (Kelapa Gading),55,5,39,168,10,168,O3,TIDAK SEHAT
2012-12-20,DKI2 (Kelapa Gading),66,12,19,155,12,155,O3,TIDAK SEHAT
2012-12-21,DKI2 (Kelapa Gading),49,9,23,185,14,185,O3,TIDAK SEHAT
2012-12-22,DKI2 (Kelapa Gading),35,2,39,217,11,217,O3,SANGAT TIDAK SEHAT
2012-12-23,DKI2 (Kelapa Gading),42,3,35,209,13,209,O3,SANGAT TIDAK SEHAT
2012-12-24,DKI2 (Kelapa Gading),34,9,18,178,8,178,O3,TIDAK SEHAT
2012-12-25,DKI2 (Kelapa Gading),26,4,13,192,6,192,O3,TIDAK SEHAT
2012-12-26,DKI2 (Kelapa Gading),23,2,14,205,16,205,O3,SANGAT TIDAK SEHAT
2012-12-27,DKI2 (Kelapa Gading),33,6,17,218,12,218,O3,SANGAT TIDAK SEHAT
2012-12-28,DKI2 (Kelapa Gading),30,3,15,210,8,210,O3,SANGAT TIDAK SEHAT
2012-12-29,DKI2 (Kelapa Gading),29,4,17,215,10,215,O3,SANGAT TIDAK SEHAT
2012-12-30,DKI2 (Kelapa Gading),30,4,17,215,10,215,O3,SANGAT TIDAK SEHAT
2012-12-31,DKI2 (Kelapa Gading),19,2,12,153,5,153,O3,TIDAK SEHAT
2012-12-01,DKI3 (Jagakarsa),14,7,6,---,9,14,PM10,BAIK
2012-12-02,DKI3 (Jagakarsa),14,7,4,70,8,70,O3,SEDANG
2012-12-03,DKI3 (Jagakarsa),18,7,---,73,8,73,O3,SEDANG
2012-12-04,DKI3 (Jagakarsa),21,7,---,38,5,38,O3,BAIK
2012-12-05,DKI3 (Jagakarsa),11,7,---,32,8,32,O3,BAIK
