Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Jakarta Central,PM2.5 - Principal,2018-01-01 01:00 AM,2018,01,01,01,110.1,179,Unhealthy,165.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2018-01-01 02:00 AM,2018,01,01,02,108.5,178,Unhealthy,107.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2018-01-01 03:00 AM,2018,01,01,03,72.8,160,Unhealthy,37.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2018-01-01 04:00 AM,2018,01,01,04,49.4,135,Unhealthy for Sensitive Groups,26.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2018-01-01 05:00 AM,2018,01,01,05,36.7,104,Unhealthy for Sensitive Groups,24.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2018-01-01 06:00 AM,2018,01,01,06,24.3,77,Moderate,12.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2018-01-01 07:00 AM,2018,01,01,07,19.1,66,Moderate,14.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2018-01-01 08:00 AM,2018,01,01,08,18.0,63,Moderate,17.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2018-01-01 09:00 AM,2018,01,01,09,14.5,56,Moderate,11.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2018-01-01 10:00 AM,2018,01,01,10,14.7,56,Moderate,15.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2018-01-01 11:00 AM,2018,01,01,11,12.8,52,Moderate,11.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2018-01-01 12:00 PM,2018,01,01,12,11.9,50,Good,11.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2018-01-01 01:00 PM,2018,01,01,13,8.9,37,Good,6.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2018-01-01 02:00 PM,2018,01,01,14,3.4,14,Good,-2.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2018-01-01 03:00 PM,2018,01,01,15,1.7,7,Good,0.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2018-01-01 04:00 PM,2018,01,01,16,3.8,16,Good,6.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2018-01-01 05:00 PM,2018,01,01,17,4.9,20,Good,6.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2018-01-01 06:00 PM,2018,01,01,18,5.9,25,Good,7.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2018-01-01 07:00 PM,2018,01,01,19,7.9,33,Good,10.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2018-01-01 08:00 PM,2018,01,01,20,8.9,37,Good,10.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2018-01-01 09:00 PM,2018,01,01,21,8.4,35,Good,8.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2018-01-01 10:00 PM,2018,01,01,22,6.7,28,Good,5.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2018-01-01 11:00 PM,2018,01,01,23,6.8,28,Good,7.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2018-01-02 12:00 AM,2018,01,02,00,6.4,27,Good,6.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2018-01-02 01:00 AM,2018,01,02,01,5.2,22,Good,4.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2018-01-02 02:00 AM,2018,01,02,02,3.6,15,Good,2.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2018-01-02 03:00 AM,2018,01,02,03,1.3,5,Good,-1.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2018-01-02 04:00 AM,2018,01,02,04,1.6,7,Good,2.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2018-01-02 05:00 AM,2018,01,02,05,2.3,10,Good,3.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2018-01-02 06:00 AM,2018,01,02,06,2.6,11,Good,3.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2018-01-02 07:00 AM,2018,01,02,07,5.3,22,Good,8.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2018-01-02 08:00 AM,2018,01,02,08,14.6,56,Moderate,24.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2018-01-02 09:00 AM,2018,01,02,09,14.3,56,Moderate,14.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2018-01-02 10:00 AM,2018,01,02,10,12.1,51,Moderate,10.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2018-01-02 11:00 AM,2018,01,02,11,12.1,51,Moderate,985.0,UG/M3,1 Hr,Invalid
Jakarta Central,PM2.5 - Principal,2018-01-02 12:00 PM,2018,01,02,12,8.7,36,Good,7.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2018-01-02 01:00 PM,2018,01,02,13,7.1,30,Good,6.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2018-01-02 02:00 PM,2018,01,02,14,6.0,25,Good,5.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2018-01-02 03:00 PM,2018,01,02,15,4.9,20,Good,4.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2018-01-02 04:00 PM,2018,01,02,16,4.9,20,Good,5.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2018-01-02 05:00 PM,2018,01,02,17,6.5,27,Good,8.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2018-01-02 06:00 PM,2018,01,02,18,8.2,34,Good,10.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2018-01-02 07:00 PM,2018,01,02,19,18.6,65,Moderate,29.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2018-01-02 08:00 PM,2018,01,02,20,21.3,70,Moderate,24.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2018-01-02 09:00 PM,2018,01,02,21,24.1,76,Moderate,27.0,UG/M3,1 Hr,Valid
