Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Jakarta South,PM2.5 - Principal,2017-01-01 01:00 AM,2017,01,01,01,54.4,148,Unhealthy for Sensitive Groups,115.0,UG/M3,1 Hr,Invalid
Jakarta South,PM2.5 - Principal,2017-01-01 02:00 AM,2017,01,01,02,58.1,152,Unhealthy,60.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2017-01-01 03:00 AM,2017,01,01,03,47.2,130,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2017-01-01 04:00 AM,2017,01,01,04,43.8,121,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2017-01-01 05:00 AM,2017,01,01,05,40.8,114,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2017-01-01 06:00 AM,2017,01,01,06,39.4,111,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2017-01-01 07:00 AM,2017,01,01,07,62.3,155,Unhealthy,85.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2017-01-01 08:00 AM,2017,01,01,08,90.8,169,Unhealthy,119.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2017-01-01 09:00 AM,2017,01,01,09,77.3,162,Unhealthy,64.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2017-01-01 10:00 AM,2017,01,01,10,54.6,148,Unhealthy for Sensitive Groups,32.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2017-01-01 11:00 AM,2017,01,01,11,38.3,108,Unhealthy for Sensitive Groups,22.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2017-01-01 12:00 PM,2017,01,01,12,32.6,94,Moderate,27.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2017-01-01 01:00 PM,2017,01,01,13,28.8,86,Moderate,25.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2017-01-01 02:00 PM,2017,01,01,14,25.9,80,Moderate,23.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2017-01-01 03:00 PM,2017,01,01,15,24.4,77,Moderate,23.0,UG/M3,1 Hr,Valid
