Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Jakarta South,PM2.5 - Principal,2020-01-01 01:00 AM,2020,01,01,01,65.3,156,Unhealthy,59.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2020-01-01 02:00 AM,2020,01,01,02,49.6,136,Unhealthy for Sensitive Groups,34.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2020-01-01 03:00 AM,2020,01,01,03,32.3,93,Moderate,15.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2020-01-01 04:00 AM,2020,01,01,04,24.6,77,Moderate,17.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2020-01-01 05:00 AM,2020,01,01,05,20.3,68,Moderate,16.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2020-01-01 06:00 AM,2020,01,01,06,20.6,69,Moderate,21.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2020-01-01 07:00 AM,2020,01,01,07,18.8,65,Moderate,17.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2020-01-01 08:00 AM,2020,01,01,08,17.9,63,Moderate,17.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2020-01-01 09:00 AM,2020,01,01,09,18.9,65,Moderate,20.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2020-01-01 10:00 AM,2020,01,01,10,21.9,72,Moderate,25.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2020-01-01 11:00 AM,2020,01,01,11,24.4,77,Moderate,27.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2020-01-01 12:00 PM,2020,01,01,12,25.7,80,Moderate,27.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2020-01-01 01:00 PM,2020,01,01,13,27.3,83,Moderate,29.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2020-01-01 02:00 PM,2020,01,01,14,27.1,83,Moderate,27.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2020-01-01 03:00 PM,2020,01,01,15,29.0,87,Moderate,31.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2020-01-01 04:00 PM,2020,01,01,16,28.5,85,Moderate,28.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2020-01-01 05:00 PM,2020,01,01,17,28.7,86,Moderate,29.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2020-01-01 06:00 PM,2020,01,01,18,28.3,85,Moderate,28.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2020-01-01 07:00 PM,2020,01,01,19,32.6,94,Moderate,37.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2020-01-01 08:00 PM,2020,01,01,20,45.8,126,Unhealthy for Sensitive Groups,59.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2020-01-01 09:00 PM,2020,01,01,21,51.4,140,Unhealthy for Sensitive Groups,57.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2020-01-01 10:00 PM,2020,01,01,22,62.7,155,Unhealthy,74.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2020-01-01 11:00 PM,2020,01,01,23,63.8,155,Unhealthy,65.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2020-01-02 12:00 AM,2020,01,02,00,40.9,114,Unhealthy for Sensitive Groups,18.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2020-01-02 01:00 AM,2020,01,02,01,29.4,87,Moderate,18.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2020-01-02 02:00 AM,2020,01,02,02,27.2,83,Moderate,25.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2020-01-02 03:00 AM,2020,01,02,03,24.1,76,Moderate,21.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2020-01-02 04:00 AM,2020,01,02,04,25.5,79,Moderate,27.0,UG/M3,1 Hr,Valid
