tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
2013-02-01,DKI1 (Bunderan HI),66,3,32,49,15,66,PM10,SEDANG
2013-02-02,DKI1 (Bunderan HI),82,2,23,44,14,82,PM10,SEDANG
2013-02-03,DKI1 (Bunderan HI),64,2,63,43,22,64,PM10,SEDANG
2013-02-04,DKI1 (Bunderan HI),80,3,55,86,25,86,O3,SEDANG
2013-02-05,DKI1 (Bunderan HI),56,2,37,76,21,76,O3,SEDANG
2013-02-06,DKI1 (Bunderan HI),44,1,28,50,11,50,O3,BAIK
2013-02-07,DKI1 (Bunderan HI),59,2,57,99,21,99,O3,SEDANG
2013-02-08,DKI1 (Bunderan HI),64,3,33,75,22,75,O3,SEDANG
2013-02-09,DKI1 (Bunderan HI),70,2,31,85,16,85,O3,SEDANG
2013-02-10,DKI1 (Bunderan HI),65,2,34,140,19,140,O3,TIDAK SEHAT
2013-02-11,DKI1 (Bunderan HI),72,2,46,85,23,85,O3,SEDANG
2013-02-12,DKI1 (Bunderan HI),69,2,35,73,20,73,O3,SEDANG
2013-02-13,DKI1 (Bunderan HI),51,2,31,102,19,102,O3,TIDAK SEHAT
2013-02-14,DKI1 (Bunderan HI),64,2,38,73,21,73,O3,SEDANG
2013-02-15,DKI1 (Bunderan HI),59,3,34,80,14,80,O3,SEDANG
2013-02-16,DKI1 (Bunderan HI),49,2,21,61,11,61,O3,SEDANG
2013-02-17,DKI1 (Bunderan HI),33,1,20,54,10,54,O3,SEDANG
2013-02-18,DKI1 (Bunderan HI),45,2,33,45,15,45,PM10,BAIK
2013-02-19,DKI1 (Bunderan HI),44,2,32,39,12,44,PM10,BAIK
2013-02-20,DKI1 (Bunderan HI),58,3,29,51,13,58,PM10,SEDANG
2013-02-21,DKI1 (Bunderan HI),54,2,42,53,16,54,PM10,SEDANG
2013-02-22,DKI1 (Bunderan HI),50,2,25,43,11,50,PM10,BAIK
2013-02-23,DKI1 (Bunderan HI),49,1,25,68,12,68,O3,SEDANG
2013-02-24,DKI1 (Bunderan HI),59,2,28,64,13,64,O3,SEDANG
2013-02-25,DKI1 (Bunderan HI),52,2,24,65,15,65,O3,SEDANG
2013-02-26,DKI1 (Bunderan HI),54,1,31,75,14,75,O3,SEDANG
2013-02-27,DKI1 (Bunderan HI),53,1,33,69,17,69,O3,SEDANG
2013-02-28,DKI1 (Bunderan HI),47,2,21,54,7,54,O3,SEDANG
2013-02-01,DKI2 (Kelapa Gading),66,19,27,158,16,158,O3,TIDAK SEHAT
2013-02-02,DKI2 (Kelapa Gading),37,6,12,209,12,209,O3,SANGAT TIDAK SEHAT
2013-02-03,DKI2 (Kelapa Gading),69,21,57,135,15,135,O3,TIDAK SEHAT
2013-02-04,DKI2 (Kelapa Gading),69,14,33,75,15,75,O3,SEDANG
2013-02-05,DKI2 (Kelapa Gading),51,9,27,114,21,114,O3,TIDAK SEHAT
2013-02-06,DKI2 (Kelapa Gading),41,7,20,151,14,151,O3,TIDAK SEHAT
2013-02-07,DKI2 (Kelapa Gading),56,9,47,213,19,213,O3,SANGAT TIDAK SEHAT
2013-02-08,DKI2 (Kelapa Gading),63,12,29,205,18,205,O3,SANGAT TIDAK SEHAT
2013-02-09,DKI2 (Kelapa Gading),57,7,17,180,30,180,O3,TIDAK SEHAT
2013-02-10,DKI2 (Kelapa Gading),62,20,28,185,15,185,O3,TIDAK SEHAT
2013-02-11,DKI2 (Kelapa Gading),69,21,25,164,21,164,O3,TIDAK SEHAT
2013-02-12,DKI2 (Kelapa Gading),70,17,24,158,17,158,O3,TIDAK SEHAT
2013-02-13,DKI2 (Kelapa Gading),49,10,22,213,19,213,O3,SANGAT TIDAK SEHAT
2013-02-14,DKI2 (Kelapa Gading),69,16,28,224,19,224,O3,SANGAT TIDAK SEHAT
2013-02-15,DKI2 (Kelapa Gading),52,11,28,196,17,196,O3,TIDAK SEHAT
2013-02-16,DKI2 (Kelapa Gading),33,7,14,174,8,174,O3,TIDAK SEHAT
2013-02-17,DKI2 (Kelapa Gading),28,5,17,134,9,134,O3,TIDAK SEHAT
2013-02-18,DKI2 (Kelapa Gading),34,8,19,153,14,153,O3,TIDAK SEHAT
2013-02-19,DKI2 (Kelapa Gading),33,7,17,104,14,104,O3,TIDAK SEHAT
2013-02-20,DKI2 (Kelapa Gading),44,8,23,145,10,145,O3,TIDAK SEHAT
2013-02-21,DKI2 (Kelapa Gading),34,7,21,152,12,152,O3,TIDAK SEHAT
2013-02-22,DKI2 (Kelapa Gading),32,6,16,64,10,64,O3,SEDANG
2013-02-23,DKI2 (Kelapa Gading),31,5,14,168,10,168,O3,TIDAK SEHAT
2013-02-24,DKI2 (Kelapa Gading),51,5,18,217,13,217,O3,SANGAT TIDAK SEHAT
2013-02-25,DKI2 (Kelapa Gading),42,6,15,134,14,134,O3,TIDAK SEHAT
2013-02-26,DKI2 (Kelapa Gading),47,5,14,213,10,213,O3,SANGAT TIDAK SEHAT
