tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
2017-06-01,DKI1 (Bunderan HI),41,11,20,23,3,41,PM10,BAIK
2017-06-02,DKI1 (Bunderan HI),53,14,25,75,4,75,O3,SEDANG
2017-06-03,DKI1 (Bunderan HI),71,15,21,75,4,75,O3,SEDANG
2017-06-04,DKI1 (Bunderan HI),42,13,23,72,5,72,O3,SEDANG
2017-06-05,DKI1 (Bunderan HI),36,12,28,55,5,55,O3,SEDANG
2017-06-06,DKI1 (Bunderan HI),31,12,19,63,6,63,O3,SEDANG
2017-06-07,DKI1 (Bunderan HI),41,16,18,32,4,41,PM10,BAIK
2017-06-08,DKI1 (Bunderan HI),38,21,18,31,3,38,PM10,BAIK
2017-06-09,DKI1 (Bunderan HI),51,20,17,47,3,51,PM10,SEDANG
2017-06-10,DKI1 (Bunderan HI),50,13,20,77,4,77,O3,SEDANG
2017-06-11,DKI1 (Bunderan HI),57,13,19,56,5,57,PM10,SEDANG
2017-06-12,DKI1 (Bunderan HI),52,13,17,48,4,52,PM10,SEDANG
2017-06-13,DKI1 (Bunderan HI),54,14,23,70,6,70,O3,SEDANG
2017-06-14,DKI1 (Bunderan HI),54,12,20,49,7,54,PM10,SEDANG
2017-06-15,DKI1 (Bunderan HI),51,13,20,44,5,51,PM10,SEDANG
2017-06-16,DKI1 (Bunderan HI),50,16,18,32,2,50,PM10,BAIK
2017-06-17,DKI1 (Bunderan HI),42,15,18,55,3,55,O3,SEDANG
2017-06-18,DKI1 (Bunderan HI),51,12,24,67,3,67,O3,SEDANG
2017-06-19,DKI1 (Bunderan HI),34,14,21,84,4,84,O3,SEDANG
2017-06-20,DKI1 (Bunderan HI),52,17,18,63,7,63,O3,SEDANG
2017-06-21,DKI1 (Bunderan HI),63,19,21,65,4,65,O3,SEDANG
2017-06-22,DKI1 (Bunderan HI),58,17,29,36,4,58,PM10,SEDANG
2017-06-23,DKI1 (Bunderan HI),60,18,27,40,4,60,PM10,SEDANG
2017-06-24,DKI1 (Bunderan HI),40,14,19,30,2,40,PM10,BAIK
2017-06-25,DKI1 (Bunderan HI),55,15,27,31,2,55,PM10,SEDANG
