tanggal,pm10(ug/m3),pm10_ispu,temperatur_rata-rata(°C),kelembapan_rata-rata(%),curah_hujan(mm),kecepatan_angin_rata-rata(m/s)
2019-01-31,49.8,50.0,27.5,82.1,26.3,1.4
2019-02-28,47.9,48.0,28.2,80.8,10.6,1.4
2019-03-31,39.8,40.0,28.2,78.6,10.9,1.6
2019-04-30,46.5,47.0,28.9,78.5,7.0,1.5
2019-05-31,52.5,51.0,29.6,73.6,1.7,1.5
2019-06-30,58.9,54.0,29.2,72.1,0.8,1.2
2019-07-31,73.2,62.0,28.7,67.9,0.0,1.3
2019-08-31,68.8,59.0,28.3,68.8,0.0,1.4
2019-09-30,64.3,57.0,28.8,68.9,0.0,1.2
2019-10-31,73.4,62.0,29.5,70.0,0.0,1.2
2019-11-30,65.6,58.0,29.5,70.8,2.0,1.3
2019-12-31,58.3,54.0,28.6,78.6,8.0,1.4
