tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
2020-03-01,DKI1 (Bunderan HI),45,5,13,28,8,45,PM10,BAIK
2020-03-02,DKI1 (Bunderan HI),34,5,15,32,10,34,PM10,BAIK
2020-03-03,DKI1 (Bunderan HI),59,5,23,29,14,59,PM10,SEDANG
2020-03-04,DKI1 (Bunderan HI),56,7,19,55,16,56,PM10,SEDANG
2020-03-05,DKI1 (Bunderan HI),35,6,16,30,13,35,PM10,BAIK
2020-03-06,DKI1 (Bunderan HI),36,10,19,33,16,36,PM10,BAIK
2020-03-07,DKI1 (Bunderan HI),37,7,17,28,17,37,PM10,BAIK
2020-03-08,DKI1 (Bunderan HI),45,7,16,39,11,45,PM10,BAIK
2020-03-09,DKI1 (Bunderan HI),39,6,12,19,11,39,PM10,BAIK
2020-03-10,DKI1 (Bunderan HI),30,5,12,33,11,33,O3,BAIK
2020-03-11,DKI1 (Bunderan HI),40,5,15,38,13,40,PM10,BAIK
2020-03-12,DKI1 (Bunderan HI),48,5,19,39,20,48,PM10,BAIK
2020-03-13,DKI1 (Bunderan HI),34,4,17,36,12,36,O3,BAIK
2020-03-14,DKI1 (Bunderan HI),64,6,19,87,17,87,O3,SEDANG
2020-03-15,DKI1 (Bunderan HI),50,3,17,42,13,50,PM10,BAIK
2020-03-16,DKI1 (Bunderan HI),50,4,20,36,19,50,PM10,BAIK
2020-03-17,DKI1 (Bunderan HI),41,4,21,57,15,57,O3,SEDANG
2020-03-18,DKI1 (Bunderan HI),44,3,15,54,12,54,O3,SEDANG
2020-03-19,DKI1 (Bunderan HI),62,7,26,37,14,62,PM10,SEDANG
2020-03-20,DKI1 (Bunderan HI),48,4,12,51,14,51,O3,SEDANG
2020-03-21,DKI1 (Bunderan HI),43,6,15,37,17,43,PM10,BAIK
2020-03-22,DKI1 (Bunderan HI),34,4,7,42,9,42,O3,BAIK
2020-03-23,DKI1 (Bunderan HI),40,4,12,66,13,66,O3,SEDANG
2020-03-24,DKI1 (Bunderan HI),58,4,20,54,17,58,PM10,SEDANG
2020-03-25,DKI1 (Bunderan HI),33,3,7,63,8,63,O3,SEDANG
2020-03-26,DKI1 (Bunderan HI),49,4,10,42,10,49,PM10,BAIK
2020-03-27,DKI1 (Bunderan HI),43,4,9,62,10,62,O3,SEDANG
2020-03-28,DKI1 (Bunderan HI),58,6,12,67,14,67,O3,SEDANG
2020-03-29,DKI1 (Bunderan HI),61,7,7,56,8,61,PM10,SEDANG
2020-03-30,DKI1 (Bunderan HI),47,6,9,68,12,68,O3,SEDANG
2020-03-31,DKI1 (Bunderan HI),51,11,9,84,10,84,O3,SEDANG
2020-03-01,DKI2 (Kelapa Gading),42,8,16,33,5,42,PM10,BAIK
2020-03-02,DKI2 (Kelapa Gading),34,7,15,40,8,40,O3,BAIK
2020-03-03,DKI2 (Kelapa Gading),55,8,25,33,8,55,PM10,SEDANG
2020-03-04,DKI2 (Kelapa Gading),58,8,18,60,4,60,O3,SEDANG
2020-03-05,DKI2 (Kelapa Gading),33,8,12,46,3,46,O3,BAIK
2020-03-06,DKI2 (Kelapa Gading),54,8,13,39,7,54,PM10,SEDANG
2020-03-07,DKI2 (Kelapa Gading),37,8,9,43,5,43,O3,BAIK
2020-03-08,DKI2 (Kelapa Gading),49,9,15,50,5,50,O3,BAIK
2020-03-09,DKI2 (Kelapa Gading),40,8,9,42,3,42,O3,BAIK
2020-03-10,DKI2 (Kelapa Gading),36,8,9,40,8,40,O3,BAIK
2020-03-11,DKI2 (Kelapa Gading),39,8,7,40,5,40,O3,BAIK
2020-03-12,DKI2 (Kelapa Gading),43,9,11,46,8,46,O3,BAIK
2020-03-13,DKI2 (Kelapa Gading),40,8,11,49,12,49,O3,BAIK
2020-03-14,DKI2 (Kelapa Gading),65,10,14,92,11,92,O3,SEDANG
2020-03-15,DKI2 (Kelapa Gading),56,17,16,62,6,62,O3,SEDANG
2020-03-16,DKI2 (Kelapa Gading),51,11,17,61,6,61,O3,SEDANG
2020-03-17,DKI2 (Kelapa Gading),54,13,19,63,7,63,O3,SEDANG
2020-03-18,DKI2 (Kelapa Gading),53,9,11,53,4,53,PM10,SEDANG
2020-03-19,DKI2 (Kelapa Gading),62,9,26,63,8,63,O3,SEDANG
2020-03-20,DKI2 (Kelapa Gading),45,10,15,109,7,109,O3,TIDAK SEHAT
2020-03-21,DKI2 (Kelapa Gading),54,9,20,60,9,60,O3,SEDANG
2020-03-22,DKI2 (Kelapa Gading),27,9,6,46,2,46,O3,BAIK
2020-03-23,DKI2 (Kelapa Gading),44,11,14,84,4,84,O3,SEDANG
2020-03-24,DKI2 (Kelapa Gading),71,17,22,70,6,71,PM10,SEDANG
2020-03-25,DKI2 (Kelapa Gading),44,11,10,65,4,65,O3,SEDANG
2020-03-26,DKI2 (Kelapa Gading),48,12,9,51,3,51,O3,SEDANG
2020-03-27,DKI2 (Kelapa Gading),52,12,11,60,6,60,O3,SEDANG
2020-03-28,DKI2 (Kelapa Gading),63,17,16,124,5,124,O3,TIDAK SEHAT
2020-03-29,DKI2 (Kelapa Gading),56,10,8,80,4,80,O3,SEDANG
2020-03-30,DKI2 (Kelapa Gading),59,12,13,106,4,106,O3,TIDAK SEHAT
2020-03-31,DKI2 (Kelapa Gading),60,14,14,90,6,90,O3,SEDANG
2020-03-01,DKI3 (Jagakarsa),43,16,23,54,8,54,O3,SEDANG
2020-03-02,DKI3 (Jagakarsa),34,16,30,55,14,55,O3,SEDANG
2020-03-03,DKI3 (Jagakarsa),66,16,51,70,13,70,O3,SEDANG
2020-03-04,DKI3 (Jagakarsa),71,16,47,54,12,71,PM10,SEDANG
2020-03-05,DKI3 (Jagakarsa),35,16,19,38,4,38,O3,BAIK
2020-03-06,DKI3 (Jagakarsa),38,17,23,67,8,67,O3,SEDANG
2020-03-07,DKI3 (Jagakarsa),43,17,16,64,---,64,O3,SEDANG
2020-03-08,DKI3 (Jagakarsa),47,16,24,63,4,63,O3,SEDANG
2020-03-09,DKI3 (Jagakarsa),45,16,20,35,---,45,PM10,BAIK
2020-03-10,DKI3 (Jagakarsa),50,16,15,35,4,50,PM10,BAIK
2020-03-11,DKI3 (Jagakarsa),---,---,---,---,---,0,,TIDAK ADA DATA
2020-03-12,DKI3 (Jagakarsa),51,17,24,68,5,68,O3,SEDANG
2020-03-13,DKI3 (Jagakarsa),43,16,19,75,4,75,O3,SEDANG
2020-03-14,DKI3 (Jagakarsa),65,17,45,137,5,137,O3,TIDAK SEHAT
2020-03-15,DKI3 (Jagakarsa),51,16,35,93,5,93,O3,SEDANG
2020-03-16,DKI3 (Jagakarsa),50,16,31,109,5,109,O3,TIDAK SEHAT
2020-03-17,DKI3 (Jagakarsa),43,16,27,105,5,105,O3,TIDAK SEHAT
2020-03-18,DKI3 (Jagakarsa),51,16,24,74,7,74,O3,SEDANG
2020-03-19,DKI3 (Jagakarsa),62,---,36,43,7,62,PM10,SEDANG
2020-03-20,DKI3 (Jagakarsa),38,15,19,47,12,47,O3,BAIK
2020-03-21,DKI3 (Jagakarsa),32,17,18,55,5,55,O3,SEDANG
2020-03-22,DKI3 (Jagakarsa),39,17,23,50,6,50,O3,BAIK
2020-03-23,DKI3 (Jagakarsa),43,17,21,95,7,95,O3,SEDANG
2020-03-24,DKI3 (Jagakarsa),54,17,31,72,10,72,O3,SEDANG
2020-03-25,DKI3 (Jagakarsa),40,18,18,97,7,97,O3,SEDANG
2020-03-26,DKI3 (Jagakarsa),44,17,22,68,8,68,O3,SEDANG
2020-03-27,DKI3 (Jagakarsa),48,16,19,73,4,73,O3,SEDANG
2020-03-28,DKI3 (Jagakarsa),49,17,21,112,5,112,O3,TIDAK SEHAT
2020-03-29,DKI3 (Jagakarsa),74,18,36,73,8,74,PM10,SEDANG
2020-03-30,DKI3 (Jagakarsa),42,19,21,68,5,68,O3,SEDANG
2020-03-31,DKI3 (Jagakarsa),38,18,23,35,7,38,PM10,BAIK
2020-03-01,DKI4 (Lubang Buaya),55,21,11,81,6,81,O3,SEDANG
2020-03-02,DKI4 (Lubang Buaya),40,22,21,105,6,105,O3,TIDAK SEHAT
2020-03-03,DKI4 (Lubang Buaya),76,22,25,108,8,108,O3,TIDAK SEHAT
2020-03-04,DKI4 (Lubang Buaya),70,21,18,172,5,172,O3,TIDAK SEHAT
2020-03-05,DKI4 (Lubang Buaya),35,22,8,66,3,66,O3,SEDANG
2020-03-06,DKI4 (Lubang Buaya),44,24,10,100,14,100,O3,SEDANG
2020-03-07,DKI4 (Lubang Buaya),50,23,---,74,12,74,O3,SEDANG
2020-03-08,DKI4 (Lubang Buaya),53,23,18,86,16,86,O3,SEDANG
2020-03-09,DKI4 (Lubang Buaya),50,23,---,72,11,72,O3,SEDANG
2020-03-10,DKI4 (Lubang Buaya),43,22,6,55,7,55,O3,SEDANG
2020-03-11,DKI4 (Lubang Buaya),43,23,---,108,15,108,O3,TIDAK SEHAT
2020-03-12,DKI4 (Lubang Buaya),---,---,---,---,---,0,,TIDAK ADA DATA
2020-03-13,DKI4 (Lubang Buaya),53,22,---,110,73,110,O3,TIDAK SEHAT
2020-03-14,DKI4 (Lubang Buaya),89,25,28,197,13,197,O3,TIDAK SEHAT
2020-03-15,DKI4 (Lubang Buaya),69,22,21,131,10,131,O3,TIDAK SEHAT
2020-03-16,DKI4 (Lubang Buaya),59,23,18,133,10,133,O3,TIDAK SEHAT
2020-03-17,DKI4 (Lubang Buaya),101,23,16,129,10,129,O3,TIDAK SEHAT
2020-03-18,DKI4 (Lubang Buaya),57,23,13,108,10,108,O3,TIDAK SEHAT
2020-03-19,DKI4 (Lubang Buaya),73,22,27,37,9,73,PM10,SEDANG
2020-03-20,DKI4 (Lubang Buaya),54,20,---,66,7,66,O3,SEDANG
2020-03-21,DKI4 (Lubang Buaya),56,6,23,40,7,56,PM10,SEDANG
2020-03-22,DKI4 (Lubang Buaya),45,5,---,50,1,50,O3,BAIK
2020-03-23,DKI4 (Lubang Buaya),54,7,---,100,1,100,O3,SEDANG
2020-03-24,DKI4 (Lubang Buaya),78,6,15,63,2,78,PM10,SEDANG
2020-03-25,DKI4 (Lubang Buaya),56,23,---,82,---,82,O3,SEDANG
2020-03-26,DKI4 (Lubang Buaya),54,25,---,58,5,58,O3,SEDANG
2020-03-27,DKI4 (Lubang Buaya),65,25,---,70,5,70,O3,SEDANG
2020-03-28,DKI4 (Lubang Buaya),74,26,19,104,11,104,O3,TIDAK SEHAT
2020-03-29,DKI4 (Lubang Buaya),78,25,22,86,10,86,O3,SEDANG
2020-03-30,DKI4 (Lubang Buaya),62,25,12,66,12,66,O3,SEDANG
2020-03-31,DKI4 (Lubang Buaya),---,---,---,---,---,0,,TIDAK ADA DATA
2020-03-01,DKI5 (Kebon Jeruk) Jakarta Barat,22,---,35,213,11,213,O3,SANGAT TIDAK SEHAT
2020-03-02,DKI5 (Kebon Jeruk) Jakarta Barat,22,---,---,201,15,201,O3,SANGAT TIDAK SEHAT
2020-03-03,DKI5 (Kebon Jeruk) Jakarta Barat,54,---,39,152,13,152,O3,TIDAK SEHAT
2020-03-04,DKI5 (Kebon Jeruk) Jakarta Barat,59,---,32,206,5,206,O3,SANGAT TIDAK SEHAT
2020-03-05,DKI5 (Kebon Jeruk) Jakarta Barat,24,17,52,95,3,95,O3,SEDANG
2020-03-06,DKI5 (Kebon Jeruk) Jakarta Barat,34,27,40,54,7,54,O3,SEDANG
2020-03-07,DKI5 (Kebon Jeruk) Jakarta Barat,30,24,40,58,5,58,O3,SEDANG
2020-03-08,DKI5 (Kebon Jeruk) Jakarta Barat,52,22,38,59,7,59,O3,SEDANG
2020-03-09,DKI5 (Kebon Jeruk) Jakarta Barat,32,21,39,43,4,43,O3,BAIK
2020-03-10,DKI5 (Kebon Jeruk) Jakarta Barat,25,20,36,41,4,41,O3,BAIK
2020-03-11,DKI5 (Kebon Jeruk) Jakarta Barat,34,20,46,63,4,63,O3,SEDANG
